10156296084996977_10156296527906977,10  justices ayaw kay sereno at 70% empleyado ayaw sa kanya kakahiya na cj corona na alis pero supportado katrabaho nya
10156296084996977_10156296541011977,"Pag hindi ka pa nag resign ewan ko na,mala great wall of China na na kapal ng face mo, Sereno...inaayawan ka na jan.."
10156296084996977_10156296570846977,Kahit majority pa yan ingo..di nila mapilit  mag resign si Sereno ok..kaya nga antayin  ang impeachment..Wag maging utouto..
10156296084996977_10156296576846977,Korek Ka dyn Suzette Corpus... Ndi ako maka sereno puro gusto un patas at sumusunod sa batas....
10156296084996977_10156296625176977,"Give CJ Sereno a day to defend herself in court or any tribunal. Kahit ano pa stand nyo sa isyu na ito especially mga empleyado ng SC, bigyan nyo naman ng respeto ang institution na kinabibilangan. Pamilyar naman kayo sa Bill of Rights di ba? May Code of Ethics din na sinusunod na mukhang kinalimutan nyo. Every one, even the CJ, has the right to be treated fairly and accorded due process of law."
10156296084996977_10156296632151977,Laban maam sereno alam nilang talo  siya kaya gusto nilang magresign ka laban lang ng laban
10156296084996977_10156296648871977,"Halatang halata itong mga tagapagtanggol ni Sereno na kapit tuko, talagang, mga bulag at bingi sa katotohanan at ayaw ang pagbabago."
10156296084996977_10156296686976977,Dont resign cj sereno just fight to your critics only proper impeachment can remove from the office.
10156296084996977_10156296700996977,Yan yung mga taong nakiki agos lng sa daloy ng kwento kung baga...alam din kc ng my pinino n gustong patalsikin si sereno n mahina ebidensya nla at yun ang maraming hawak  si sereno kaya atat n rin kaya si sereno n i-conduct n yang senate impeachment n yan para maisiwalat nya ang totoo sa mga binibintang nla...gooo CJ SERENO!!! I WILL PRAY FOR YOU!!!
10156296084996977_10156296724816977,"You know Jhun Flores, its different just to resign before youll be impeached, than, impeached from your position...according to them, Sereno will not give her dishonor or shame to herself, and to the department, if, shell resign before it happened, cause, theyre sure, itll happened, the impeachment. Remember Corona? Same, itll be disheartening."
10156296084996977_10156296932561977,SERENO MAKAPAL!!!!!!!!
10156296084996977_10156297089571977,Against kay Sereno mga uto uto mga yan! Magsisisi din kayo balang araw!
10156296084996977_10156297313376977,MAKAPAL ANG MUKHA NI SERENO SI CJ CORONA NA IMPEACH SYA KAPIT KAY AQUINO EWWW
10156296084996977_10156297531376977,Puro lng pres con c sereno dapat sa senado k nlng magsalita mga taga sunod m puro dilaw
